ArticleNo|RawParagraph|Prediction
18.0|ΔΕ Βοηθητικό Προσωπικό Τεχνικής Στήριξης Εκπαιδευτικών Προγραμμάτωνμερικής απασχόλησης: Μία (1)  τακτική θέση (π.δ. 164/2004 και ν. 3320/2005).|Positions
18.0|Ε. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΗΠΕΙΡΟΥ (ΙΩΑΝΝΙΝΑ).|Org
18.0|ΔΕ Βοηθητικό Προσωπικό Τεχνικής Στήριξης Εκπαιδευτικών Προγραμμάτωνμερικής απασχόλησης: Μία (1)  τακτική θέση (π.δ. 164/2004 και ν. 3320/2005).|Positions
18.0|ΣΤ. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΙΟΝΙΩΝ ΝΗΣΩΝ (ΚΕΡΚΥΡΑ).|Org
18.0|ΔΕ Βοηθητικό Προσωπικό Τεχνικής Στήριξης Εκπαιδευτικών Προγραμμάτωνμερικής απασχόλησης: Μία (1)  τακτική θέση (π.δ. 164/2004 και ν. 3320/2005).|Positions
18.0|Ζ. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΝΟΤΙΟΥ  ΑΙΓΑΙΟΥ (ΕΡΜΟΥΠΟΛΗ).|Org
18.0|ΔΕ Βοηθητικό Προσωπικό Τεχνικής Στήριξης Εκπαιδευτικών Προγραμμάτωνμερικής απασχόλησης: Μία (1)  τακτική θέση (π.δ. 164/2004 και ν. 3320/2005).|Positions
18.0|Η. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ (ΜΥΤΙΛΗΝΗ).|Org
18.0|ΔΕ Βοηθητικό Προσωπικό Τεχνικής Στήριξης Εκπαιδευτικών Προγραμμάτωνμερικής απασχόλησης: Μία (1)  τακτική θέση (π.δ. 164/2004 και ν. 3320/2005).|Positions
18.0|Θ. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΚΡΗΤΗΣ (ΗΡΑΚΛΕΙΟ).|Org
18.0|Δ. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΠΕΛΟΠΟΝΝΗΣΟΥ (ΤΡΙΠΟΛΗ).|Org
18.0|Υπεύθυνοι Σπουδών και Έρευνας: Τέσσερις (4) θέΕ. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΗΠΕΙΡΟΥ (ΙΩΑΝΝΙΝΑ).|Positions
18.0|Υπεύθυνοι Σπουδών και Έρευνας: Τέσσερις (4) θέσεις.|Positions
18.0|σεις. ΣΤ. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΙΟΝΙΩΝ ΝΗΣΩΝ (ΚΕΡΚΥΡΑ).|Org
18.0|Υπεύθυνοι Σπουδών και Έρευνας: Τρεις (3) θέσεις.|Positions
18.0|Ζ. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΝΟΤΙΟΥ  ΑΙΓΑΙΟΥ (ΕΡΜΟΥΠΟΛΗ).|Org
18.0|Υπεύθυνοι Σπουδών και Έρευνας: Τρεις (3) θέσεις.|Positions
18.0|Η. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ (ΜΥΤΙΛΗΝΗ).|Org
18.0|Υπεύθυνοι Σπουδών και Έρευνας: Τρεις (3) θέσεις.|Positions
18.0|Θ. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΚΡΗΥπεύθυνοι Σπουδών και Έρευνας: Τέσσερις (4) θέ1. Το Ειδικό Επιστημονικό Προσωπικό του Ε.Κ.Δ.Δ.Α.|Org
18.0|Ι. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΘΕΣΔΕ Βοηθητικό Προσωπικό Τεχνικής Στήριξης Εκπαιδευτικών Προγραμμάτωνμερικής απασχόλησης: Μία (1)  τακτική θέση (π.δ. 164/2004 και ν. 3320/2005).|Org
18.0|Ι. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΘΕΣΣΑΛΙΑΣ (ΛΑΡΙΣΑ).|Org
18.0|ΔΕ Βοηθητικό Προσωπικό Τεχνικής Στήριξης Εκπαιδευτικών Προγραμμάτωνμερικής απασχόλησης: Μία (1)  τακτική θέση (π.δ. 164/2004 και ν. 3320/2005).|Positions
18.0|ΙΑ. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ (ΚΟΖΑΝΗ).|Org
18.0|ΔΕ Βοηθητικό Προσωπικό Τεχνικής Στήριξης Εκπαιδευτικών Προγραμμάτωνμερικής απασχόλησης: Μία (1)  τακτική θέση (π.δ. 164/2004 και ν. 3320/2005).|Positions
18.0|ΙΒ. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΔΥΤΙΚΗΣ ΕΛΛΑΔΟΣ (ΠΑΤΡΑ).|Org
18.0|ΔΕ Βοηθητικό Προσωπικό Τεχνικής Στήριξης Εκπαιδευτικών Προγραμμάτωνμερικής απασχόλησης: Μία (1)  τακτική θέση (π.δ. 164/2004 και ν. 3320/2005).|Positions
19.0|ΕΙΔΙΚΟ ΕΠΙΣΤΗΜΟΝΙΚΟ ΠΡΟΣΩΠΙΚΟ διακρίνεται:|Irrelevant
19.0|α. Στους Υπευθύνους Σπουδών και Έρευνας,|Org
19.0|β. Στο Νομικό Σύμβουλο.|Org
19.0|2. Τα προσόντα των Υπεύθυνων Σπουδών και Έρευνας προβλέπονται στις διατάξεις του άρθρου 12 του  π.δ. 57/2007, χωρίς υποχρεωτική περαιτέρω εξειδίκευση  ειδικοτήτων.|RespA
19.0|3. Το σύνολο των θέσεων του Ειδικού Επιστημονικού  Προσωπικού είναι ενενήντα εννέα (99) θέσεις με την  ακόλουθη ανάλυση:|Positions
19.0|α) Υπεύθυνοι Σπουδών και Έρευνας: ενενήντα οκτώ  (98) θέσεις εκ των οποίων:|Positions
19.0|α. Εβδομήντα μία (71) τακτικές θέσεις (με απόσπαση σύμφωνα με το άρθρο 12, παρ.2 εδάφιο 3 του π.δ.|Positions
19.0|2007) με εργασιακή σχέση μονίμου υπαλλήλου.|Irrelevant
19.0|β. Έξι (6) προσωποπαγείς θέσεις (από μετάταξη, σύμφωνα με το άρθρο 24 παρ.5 του ν. 3200/2003), με εργασιακή σχέση μονίμου υπαλλήλου.|Positions
19.0|ΠΡΟΣΩΠΙΚΟ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ.|Irrelevant
19.0|γ. Ένδεκα (11) τακτικές θέσεις με εργασιακή σχέση  ιδιωτικού δικαίου ορισμένου χρόνου.|Positions
19.0|δ. Πέντε (5) τακτικές θέσεις με εργασιακή σχέση αορίστου χρόνου (από μετατροπή σύμβασης σύμφωνα με  το άρθρο 25 του ν. 1735/1987).|Positions
19.0|ε. Πέντε (5) προσωποπαγείς θέσεις με εργασιακή σχέση αορίστου χρόνου (από μετάταξη σύμφωνα με το  άρθρο 24 παρ.5 του ν. 3200/2003).|Positions
19.0|β) Νομικός Σύμβουλος: μία (1) τακτική θέση.|Positions
19.0|4. Οι θέσεις του ειδικού επιστημονικού προσωπικού ανά Περιφερειακό Ινστιτούτο Επιμόρφωσης του Εθνικού Κέντρου Δημόσιας Διοίκησης και Αυτοδιοίκησης έχουν ως κατωτέρω:|RespA
19.0|Α. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ.|Org
19.0|Υπεύθυνοι Σπουδών και Έρευνας: Έξη (6) θέσεις.|Positions
19.0|Β. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ (ΚΟΜΟΤΗΝΗ).|Org
19.0|Υπεύθυνοι Σπουδών και Έρευνας: Τρεις (3) θέσεις.|Positions
19.0|Γ. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ (ΛΑΜΙΑ).|Org
19.0|Υπεύθυνοι Σπουδών και Έρευνας: Τέσσερις (4) θέσεις.|Positions
19.0|ΤΗΣ (ΗΡΑΚΛΕΙΟ).|Irrelevant
19.0|σεις. ΣΑΛΙΑΣ (ΛΑΡΙΣΑ).|Irrelevant
19.0|Υπεύθυνοι Σπουδών και Έρευνας: Πέντε (5) θέσεις.|Positions
19.0|ΙΑ. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ (ΚΟΖΑΝΗ).|Org
19.0|Υπεύθυνοι Σπουδών και Έρευνας: Τρεις (3) θέσεις.|Positions
19.0|ΙΒ. ΠΕΡΙΦΕΡΕΙΑΚΟ ΙΝΣΤΙΤΟΥΤΟ ΕΠΙΜΟΡΦΩΣΗΣ ΔΥΤΙΚΗΣ ΕΛΛΑΔΟΣ (ΠΑΤΡΑ).|Org
19.0|Υπεύθυνοι Σπουδών και Έρευνας: Πέντε (5) θέσεις.|Positions
20.0|ΔΙΚΗΓΟΡΟΣ ΜΕ ΕΜΜΙΣΘΗ ΕΝΤΟΛΗ Δικηγόρος με έμμισθη εντολή: μία (1) τακτική θέση.|Positions
21.0|Προσόντα Διορισμού Για το Διοικητικό Προσωπικό, προσόντα διορισμού του  στον εισαγωγικό βαθμό των παραπάνω κλάδων, ορίζονται τα προβλεπόμενα στο π.δ. 50/2001 (ΦΕΚ39/Α΄/2001),  του π.δ. 347/2003 (ΦΕΚ 315/Α/2003), του π.δ. 44/2005  (ΦΕΚ 63/9.3.2005), και του π.δ. 116/2006 (ΦΕΚ115/Α΄/2006)  όπως ισχύουν κάθε φορά. Οι ανωτέρω θέσεις διαβαθμίζονται στους ενιαίους βαθμούς από τον Δ έως τον Α  για τις κατηγορίες ΠΕ, ΤΕ, ΔΕ και από τον Ε έως τον  Α για την κατηγορία ΥΕ, σύμφωνα με το άρθρο 82 του  ν.3528/07 (ΦΕΚ Α/26).|Positions
21.0|Για την θέση δικηγόρου με έμμισθη εντολή, που προβλέπεται στην παρ.3 του άρθρου 12 του π.δ. 57/2007  «Κωδικοποίηση σε ενιαίο κείμενο των διατάξεων της  κείμενης νομοθεσίας, που διέπουν το Εθνικό Κέντρο Δημόσιας Διοίκησης και Αυτοδιοίκησης (Ε.Κ.Δ.Δ.Α.)» (ΦΕΚ  59/Α/14.3.2007), ως προσόν ορίζεται η άδεια δικηγόρου  και η κατοχή ειδικών γνώσεων δημοσίου και ευρωπαϊκού  δικαίου. Η πλήρωση της εν λόγω θέσης πραγματοποιείται με απόφαση του Υπουργού Εσωτερικών, ύστερα  από εισήγηση του Δ.Σ. του Ε.Κ.Δ.Δ.Α. και άνευ τηρήσεως  οιασδήποτε άλλης διαδικασίας.|Positions
22.0|Προϊστάμενοι Υπηρεσιών Κ.Υ./Ε.Κ.Δ.Δ.Α. – Π.ΙΝ.ΕΠ.|Positions
22.0|1. ΔΙΕΥΘΥΝΣΗ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ Της Διεύθυνσης προΐσταται υπάλληλος ΠΕ με βαθμό Α΄,  μεταπτυχιακό τίτλο σπουδών και ανάλογη εμπειρία ή προΐσταται υπάλληλος από το προσωπικό της κατηγορίας που  είχε προβλεφθεί στην παρ. 2 του άρθρου 11 του ν. 1388/1983,  και έχει ενσωματωθεί στην παρ. 2 του άρθρου 12 του π.δ.|Org
22.0|2007 «Κωδικοποίηση σε ενιαίο κείμενο των διατάξεων  της κείμενης νομοθεσίας, που διέπουν το Εθνικό Κέντρο  Δημόσιας Διοίκησης και Αυτοδιοίκησης (Ε.Κ.Δ.Δ.Α.)» (ΦΕΚ  59/Α/14.3.2007), και διαθέτει ανάλογη εμπειρία.|RespA
22.0|Α) Τμήμα Σχεδιασμού και Ανάπτυξης.|Org
22.0|Του Τμήματος προΐσταται υπάλληλος από το προσωπικό της κατηγορίας που είχε προβλεφθεί στην παρ.|Org
22.0|2 του άρθρου 11 του ν. 1388/1983 και έχει ενσωματωθεί  στην παρ. 2 του άρθρου 12 του π.δ. 57/2007 «Κωδικοποίηση σε ενιαίο κείμενο των διατάξεων της κείμενης νομοθεσίας, που διέπουν το Εθνικό Κέντρο Δημόσιας Διοίκησης και Αυτοδιοίκησης (Ε.Κ.Δ.Δ.Α.)» (ΦΕΚ 59/Α/14.3.2007).|Org
22.0|Ελλείψει τούτου: υπάλληλος ΠΕ με βαθμό Α΄ και με  μεταπτυχιακό τίτλο σπουδών ή ανάλογη εμπειρία, και  εν ελλείψει: υπάλληλος ΠΕ με βαθμό Α΄.|Org
22.0|Β) Τμήμα Εφαρμογών Πληροφορικής και Τεχνικής  Υποστήριξης.|Org
22.0|Από το προσωπικό της κατηγορίας που είχε προβλεφθεί στην παρ. 2 του άρθρου 11 του ν. 1388/1983 και έχει  ενσωματωθεί στην παρ. 2 του άρθρου 12 του π.δ. 57/2007  «Κωδικοποίηση σε ενιαίο κείμενο των διατάξεων της  κείμενης νομοθεσίας, που διέπουν το Εθνικό Κέντρο Δημόσιας Διοίκησης και Αυτοδιοίκησης (Ε.Κ.Δ.Δ.Α.)» (ΦΕΚ  59/Α/14.3.2007), κλάδου ΠΕ Πληροφορικής ή σχετικών  ειδικοτήτων και σε περίπτωση έλλειψης κατά σειρά:|Irrelevant
22.0|Υπάλληλος ΠΕ Πληροφορικής ή σχετικών ειδικοτήτων  Υπάλληλος ΤΕ Πληροφορικής ή σχετικών ειδικοτήτων  Υπάλληλος ΠΕ Πληροφορικής ή σχετικών ειδικοτήτων  Υπάλληλος ΤΕ Πληροφορικής ή σχετικών ειδικοτήτων  με βαθμό Α΄.|Irrelevant
22.0|με βαθμό Α΄.|Irrelevant
22.0|με βαθμό Β΄.|Irrelevant
22.0|με βαθμό Β΄.|Irrelevant
22.0|Γ) Τμήμα Τεκμηρίωσης και Βιβλιοθήκης.|Org
22.0|Του Τμήματος προΐσταται:|Org
22.0|Υπάλληλος ΠΕ Βιβλιοθηκονόμων με βαθμό Α΄ και, σε  περίπτωση έλλειψης, υπάλληλος ΤΕ Βιβλιοθηκονόμων  με βαθμό Α΄ και, σε περίπτωση έλλειψης, υπάλληλος ΤΕ  Βιβλιοθηκονόμων με βαθμό Β΄.|Org
22.0|Δ) Τμήμα Συγχρηματοδοτούμενων Προγραμμάτων Του Τμήματος προΐσταται:|Org
22.0|Υπάλληλος κατηγορίας ΠΕ Διοικητικού Οικονομικού  με βαθμό Α΄ και ανάλογη εμπειρία, σε περίπτωση έλλειψης κατά σειρά, υπάλληλος ΠΕ Διοικητικού Οικονομικού με βαθμό Β΄ και ανάλογη εμπειρία, υπάλληλος  ΤΕ Διοικητικού – Λογιστικού, με βαθμό Α΄, υπάλληλος  ΠΕ Διοικητικού – Οικονομικού, με βαθμό Β΄, υπάλληλος  ΤΕ Διοικητικού – Λογιστικού, με βαθμό Β΄.|Irrelevant
22.0|2. ΔΙΕΥΘΥΝΣΗ ΔΙΟΙΚΗΤΙΚΟΥ.|Org
22.0|Της Διεύθυνσης προΐσταται:|Irrelevant
22.0|Υπάλληλος κατηγορίας ΠΕ Διοικητικού−Οικονομικού  με Βαθμό Α΄.|Irrelevant
22.0|Α) Τμήμα Προσωπικού.|Org
22.0|Του Τμήματος προΐσταται:|Org
22.0|Υπάλληλος κατηγορίας ΠΕ Διοικητικού – Οικονομικού,  με βαθμό Α΄ και, σε περίπτωση έλλειψης κατά σειρά,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού, με βαθμό Α΄,  υπάλληλος ΠΕ Διοικητικού – Οικονομικού, με βαθμό Β΄,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού, με βαθμό Β΄,  υπάλληλος ΔΕ Διοικητικού – Λογιστικού, με βαθμό Α΄.|Org
22.0|Β) Τμήμα Διοικητικής Μέριμνας.|Org
22.0|Του Τμήματος προΐσταται:|Org
22.0|Υπάλληλος κατηγορίας ΠΕ Διοικητικού – Οικονομικού,  με βαθμό Α΄ και, σε περίπτωση έλλειψης κατά σειρά,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού, με βαθμό Α΄,  υπάλληλος ΠΕ Διοικητικού – Οικονομικού, με βαθμό Β΄,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού, με βαθμό Β΄,  υπάλληλος ΔΕ Διοικητικού – Λογιστικού, με βαθμό Α΄.|Org
22.0|Γ) Γραφείο Πρωτοκόλλου.|Org
22.0|Του Γραφείου προΐσταται:|Irrelevant
22.0|Υπάλληλος κατηγορίας ΠΕ Διοικητικού – Οικονομικού,  με βαθμό Α΄ και, σε περίπτωση έλλειψης κατά σειρά,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού, με βαθμό Α΄,  υπάλληλος ΠΕ Διοικητικού – Οικονομικού, με βαθμό Β΄,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού, με βαθμό Β΄,  υπάλληλος ΔΕ Διοικητικού – Λογιστικού, με βαθμό Α΄.|Irrelevant
22.0|Δ) Αυτοτελές Γραφείο Προσβασιμότητας Ατόμων με  Αναπηρίες.|Org
22.0|Στο Αυτοτελές Γραφείο Προσβασιμότητας Ατόμων  με Αναπηρίες προΐστανται υπάλληλοι των κλάδων ΠΕ  Διοικητικού Οικονομικού ή ΠΕ Μηχανικών. Σε περίπτωση  έλλειψης υπαλλήλων από τους πιο πάνω κλάδους στο  γραφείο προΐστανται υπάλληλοι των κλάδων ΤΕ Διοικητικού Λογιστικού ή ΤΕ Μηχανικών ή ΤΕ Τεχνικών.|Irrelevant
22.0|3. ΔΙΕΥΘΥΝΣΗ ΟΙΚΟΝΟΜΙΚΟΥ.|Org
22.0|Της Διεύθυνσης προΐσταται:|Irrelevant
22.0|Υπάλληλος ΠΕ Διοικητικού– Οικονομικού με Βαθμό Α΄.|Irrelevant
22.0|Α) Τμήμα Εκκαθαρίσεων και Πληρωμών.|Org
22.0|Του Τμήματος προΐσταται:|Org
22.0|Υπάλληλος κατηγορίας ΠΕ Διοικητικού Οικονομικού,  με βαθμό Α΄ και, σε περίπτωση έλλειψης κατά σειρά,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού, με βαθμό Α΄,  υπάλληλος ΠΕ Διοικητικού – Οικονομικού, με βαθμό Β΄,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού, με βαθμό Β΄,  υπάλληλος ΔΕ Διοικητικού – Λογιστικού, με βαθμό Α΄.|Org
22.0|Β) Τμήμα Προϋπολογισμού.|Org
22.0|Του Τμήματος προΐσταται:|Org
22.0|Υπάλληλος κατηγορίας ΠΕ Διοικητικού Οικονομικού,  με βαθμό Α΄ και, σε περίπτωση έλλειψης κατά σειρά,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού, με βαθμό Α΄,  υπάλληλος ΠΕ Διοικητικού – Οικονομικού, με βαθμό Β΄,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού, με βαθμό Β΄,  υπάλληλος ΔΕ Διοικητικού – Λογιστικού, με βαθμό Α΄.|Org
22.0|Γ) Τμήμα Προμηθειών.|Org
22.0|Του Τμήματος προΐσταται:|Org
22.0|Υπάλληλος κατηγορίας ΠΕ Διοικητικού Οικονομικού,  με βαθμό Α΄ και, σε περίπτωση έλλειψης κατά σειρά,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού, με βαθμό Α΄,  υπάλληλος ΠΕ Διοικητικού – Οικονομικού, με βαθμό Β΄,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού, με βαθμό Β΄,  υπάλληλος ΔΕ Διοικητικού – Λογιστικού, με βαθμό Α΄.|Org
22.0|4. ΝΟΜΙΚΗ ΥΠΗΡΕΣΙΑ.|Org
22.0|Της Νομικής Υπηρεσίας προΐσταται ο Δικηγόρος  με έμμισθη εντολή της παρ.3 του άρθρου 12 του π.δ.|Irrelevant
22.0|2007. 5. ΑΥΤΟΤΕΛΕΣ ΤΜΗΜΑ ΠΙΣΤΟΠΟΙΗΣΗΣ, ΔΙΑΧΕΙΡΙΣΗΣ  ΠΟΙΟΤΗΤΑΣ ΚΑΙ ΕΣΩΤΕΡΙΚΟΥ ΕΛΕΓΧΟΥ.|Org
22.0|Του Αυτοτελούς Τμήματος προΐσταται:|Org
22.0|Υπάλληλος από το προσωπικό της κατηγορίας που  είχε προβλεφθεί στην παρ. 2 του άρθρου 11 του ν.|Org
22.0|και έχει ενσωματωθεί στην παρ. 2 του άρθρου 12 του π.δ. 57 «Κωδικοποίηση σε ενιαίο κείμενο  των διατάξεων της κείμενης νομοθεσίας, που διέπουν  το Εθνικό Κέντρο Δημόσιας Διοίκησης και Αυτοδιοίκησης (Ε.Κ.Δ.Δ.Α.)» (ΦΕΚ 59/Α/14.3.2007), και σε περίπτωση  έλλειψης κατά σειρά, υπάλληλος κατηγορίας ΠΕ Διοικητικού – Οικονομικού με βαθμό Α΄ και ανάλογη εμπειρία,  υπάλληλος ΠΕ Διοικητικού – Οικονομικού με βαθμό Α΄,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού με βαθμό Α΄, υπάλληλος ΠΕ Διοικητικού – Οικονομικού,  με βαθμό Β΄, υπάλληλος ΤΕ Διοικητικού – Λογιστικού,  με βαθμό Β΄.|Org
22.0|6. ΑΥΤΟΤΕΛΕΣ ΤΜΗΜΑ ΕΠΙΚΟΙΝΩΝΙΑΣ, ΔΙΕΘΝΩΝ ΚΑΙ  ΔΗΜΟΣΙΩΝ ΣΧΕΣΕΩΝ.|Org
22.0|Του Αυτοτελούς Τμήματος προΐσταται:|Org
22.0|Υπάλληλος κατηγορίας ΠΕ με βαθμό Α΄ με αυξημένα  προσόντα και πολύ καλή γνώση δύο ξένων γλωσσών ή  υπάλληλος από το προσωπικό της κατηγορίας που είχε  προβλεφθεί στην παρ. 2 του άρθρου 11 του ν. 1388/1983  και έχει ενσωματωθεί στην παρ. 2 του άρθρου 12 του π.δ.|Org
22.0|57 «Κωδικοποίηση σε ενιαίο κείμενο των διατάξεων της  κείμενης νομοθεσίας, που διέπουν το Εθνικό Κέντρο Δημόσιας Διοίκησης και Αυτοδιοίκησης (Ε.Κ.Δ.Δ.Α.)» (ΦΕΚ  59/Α/14.3.2007). Σε περίπτωση έλλειψης, υπάλληλος ΠΕ  με βαθμό Α΄ και πολύ καλή γνώση της Αγγλικής.|Org
22.0|7. ΑΥΤΟΤΕΛΕΣ ΓΡΑΦΕΙΟ ΙΑΤΡΩΝ ΥΠΗΡΕΣΙΑΣ.|Org
22.0|Του Αυτοτελούς Γραφείου προΐσταται:|Irrelevant
22.0|Υπάλληλος κατηγορίας ΠΕ Ιατρών με βαθμό Α΄ και εν  ελλείψει υπάλληλος κατηγορίας ΠΕ Ιατρών με βαθμό  Β’.|Irrelevant
22.0|8. ΓΡΑΜΜΑΤΕΙΑ ΔΙΟΙΚΗΣΗΣ.|Org
22.0|Της Γραμματείας Διοίκησης προΐσταται:|Org
22.0|Υπάλληλος,, κατά σειρά, κατηγορίας ΠΕ, κατηγορίας  ΤΕ ή κατηγορίας ΔΕ που υπηρετεί στην Κ.Υ./Ε.Κ.Δ.Δ.Α.|Org
22.0|και ορίζεται με απόφαση του Γενικού Γραμματέα. Ομοίως, χρέη γραμματέων του Δ.Σ., του Επιστημονικού−Εκπαιδευτικού Συμβουλίου και της Συντονιστικής Επιτροπής Εκπαίδευσης ασκούν υπάλληλοι που υπηρετούν  στην Κ.Υ./Ε.Κ.Δ.Δ.Α., και οι οποίοι ορίζονται ομού με τους  αναπληρωτές τους από τον Γενικό Γραμματέα αυτού.|Org
22.0|9. ΕΘΝΙΚΗ ΣΧΟΛΗ ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ (Ε.Σ.Δ.Δ.).|Org
22.0|Της Ε.Σ.Δ.Δ. προΐσταται ο Διευθυντής της Σχολής (άρθρο 16 του π.δ. 57/2007).|Irrelevant
22.0|Α) Τμήμα Συντονισμού Διοικητικού και Εκπαιδευτικού  Έργου.|Org
22.0|Του Τμήματος προΐσταται:|Org
22.0|Υπάλληλος ΠΕ με βαθμό Α΄ ή υπάλληλος από το  προσωπικό της κατηγορίας που είχε προβλεφθεί στην  παρ. 2 του άρθρου 11 του ν. 1388/1983 και έχει ενσωματωθεί στην παρ. 2 του άρθρου 12 του π.δ. 57/2007  «Κωδικοποίηση σε ενιαίο κείμενο των διατάξεων της  κείμενης νομοθεσίας, που διέπουν το Εθνικό Κέντρο Δημόσιας Διοίκησης και Αυτοδιοίκησης (Ε.Κ.Δ.Δ.Α.)» (ΦΕΚ  59/Α/14.3.2007), και σε περίπτωση έλλειψης, υπάλληλος  ΠΕ με βαθμό Β΄.|Org
22.0|Β) Τμήμα Διοικητικής και Εκπαιδευτικής Υποστήριξης.|Org
22.0|Του Τμήματος προΐσταται:|Org
22.0|Υπάλληλος κατηγορίας ΠΕ Διοικητικού Οικονομικού,  με βαθμό Α΄ και, σε περίπτωση έλλειψης κατά σειρά,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού, με βαθμό Α΄,  υπάλληλος ΠΕ Διοικητικού – Οικονομικού, με βαθμό Β΄,  υπάλληλος ΤΕ Διοικητικού – Λογιστικού, με βαθμό Β΄,  υπάλληλος ΔΕ Διοικητικού – Λογιστικού, με βαθμό Α΄.|Org
22.0|ΕΠ.) 10. ΕΘΝΙΚΗ ΣΧΟΛΗ ΤΟΠΙΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ  Της Ε.Σ.Τ.Α. προΐσταται ο Διευθυντής της Σχολής (άρθρο 28 του π.δ. 57/2007).|Org
22.0|Α) Τμήμα Συντονισμού Διοικητικού και Εκπαιδευτικού  (Ε.Σ.Τ.Α.) Έργου.|Org
22.0|Του Τμήματος προΐσταται:|Org
22.0|Υπάλληλος ΠΕ με βαθμό Α΄ ή υπάλληλος από το προσωπικό της κατηγορίας της παρ. 2 του άρθρου 11 του  ν. 1388/1983, και σε περίπτωση έλλειψης, υπάλληλος ΠΕ  με βαθμό Β΄.|Org
